,account length,area code,international plan,voice mail plan,number vmail messages,total day calls,total eve calls,total night calls,total intl calls,customer service calls,churn,Princ_Comp_0,Princ_Comp_1,Princ_Comp_2,Princ_Comp_3
0,128,415,0,1,25,110,99,91,3,1,False,-2.215933497636402,0.09972770564155371,1.2252546429255167,0.1207022253175859
1,107,415,0,1,26,123,103,103,3,1,False,0.4721710712287702,0.15247329363353898,1.4976243575095785,-1.7547917514191327
2,137,415,0,0,0,114,110,104,5,0,False,-1.6523442487798992,2.225465146256525,-1.0694564334802856,-0.9901455640617586
3,84,408,1,0,0,71,88,89,7,2,False,-3.1065710134540807,3.8792813277597555,-0.11126811406392408,1.8451434267142897
4,75,415,1,0,0,113,122,121,3,3,False,0.339503429667318,1.4685700552239427,-0.3909403945185637,0.06722386331852968
5,118,510,1,0,0,98,101,118,6,0,False,-1.1329775471105477,-0.5470004709691673,0.08605620017297118,1.9961962020543311
6,121,510,0,1,24,88,108,118,7,3,False,-0.9974839394049815,-4.113931130104512,0.3289049687929137,1.3826027900369986
7,147,415,1,0,0,79,94,96,6,0,False,0.5914726575222089,2.7305267124142745,0.3052882120216246,1.5871339273761091
8,117,408,0,0,0,97,80,90,4,1,False,-0.12303844499942815,-4.201457636157409,0.4171571242034811,0.7783916886768335
9,141,415,1,1,37,84,111,97,5,0,False,-2.046757431867582,-0.5862110328611393,3.511264776782985,-0.4835088760425651
10,65,415,0,0,0,137,83,111,6,4,True,1.315760073715186,-0.7670882052060789,0.22294024580388028,-1.2481550633999392
11,74,415,0,0,0,127,148,94,5,0,False,-0.20583160708550044,1.0479998676961053,-0.13628324751297674,0.573860551337723
12,168,408,0,0,0,96,71,128,2,1,False,1.3234741966949701,2.6791756408303655,-1.6715286954170852,-0.4835088760425651
13,95,510,0,0,0,88,75,115,5,3,False,0.6020127466461079,-1.300860434578766,-0.24084959382424637,-1.0436239260608284
14,62,415,0,0,0,70,76,99,6,4,False,1.534046843506825,-2.9621413873360463,0.06104106672391852,-1.4526862007390504
15,161,415,0,0,0,67,97,128,9,4,True,-3.976128351023965,-3.2576151179339177,-1.1253908895712135,2.449354528074454
16,85,408,0,1,27,139,90,75,4,1,False,-0.43183249985692435,-2.2295273156873354,-3.1199203645883893,-1.8082701134182024
17,93,510,0,0,0,114,111,121,3,3,False,-0.28373661233590325,-0.48071985687715946,-1.9939286768992441,1.080497239356916
18,76,510,0,1,33,66,65,108,5,1,False,-0.2577682772524356,-0.32994786415523997,-0.9826026547474827,0.12070222531759914
19,73,415,0,0,0,90,88,74,2,1,False,-1.1589458821940155,1.156526171103069,-0.22453540292354368,-1.39920783873998
20,147,415,0,0,0,117,93,133,4,0,False,0.6405833615450297,-1.0791320893269523,0.22294024580388028,-0.18140332536248283
21,77,408,0,0,0,89,121,64,6,5,True,3.047924401327727,0.8671226953511658,0.24344956673787424,2.298301752734413
22,130,415,0,0,0,112,99,78,19,0,False,-0.0837040546479472,3.571667087469948,-0.5337286293422947,0.369329413998612
23,111,415,0,0,0,103,102,105,6,2,False,1.8014443173212848,1.7761842955137501,-0.31589499417140554,1.2850283766960264
24,132,510,0,0,0,86,72,115,2,0,False,2.5622401577216283,-1.2329392094718556,1.0119268202696936,-0.03035055002244187
25,174,415,0,0,0,76,112,115,5,3,False,1.4407135922968537,-2.122395528688454,1.3930580111983084,-2.670490714116548
26,57,408,0,1,39,115,112,115,3,0,False,-0.8627541071519736,0.2761752341554234,-0.5087134958932419,0.369329413998612
27,54,408,0,0,0,73,100,68,4,3,False,1.1810302414621783,1.2680876019330167,-2.7638043071088276,-2.2614284394383257
28,20,415,0,0,0,109,84,102,6,0,False,-0.26548240023221986,-1.596334165176637,-0.541031195212881,1.9961962020543311
29,49,510,0,0,0,117,109,90,1,1,False,1.5705552677141916,-0.39319335082426365,-0.6205824080750982,-0.4394128247006635
