,item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score
0,ITM10000,Pharma,283.0,21,4.0,,49.85,1.56,0.43,L82,B,106,3.61,117.8,1.14,0,0.8,700,3.33,0.33,2024-02-17,184.37,0.556
1,ITM10001,Automotive,301.0,52,9.0,6.0,23.34,2.55,,L15,A,45,3.54,178.8,1.09,3,0.79,736,10.36,0.98,2024-10-01,221.94,0.723
2,ITM10002,Groceries,132.0,60,11.0,8.0,37.69,3.15,0.62,L4,B,177,0.52,54.05,0.95,7,0.75,814,14.32,0.87,2024-04-07,53.85,0.68
3,ITM10003,Automotive,346.0,46,13.0,5.0,33.69,2.79,0.21,L95,A,39,2.64,31.1,1.9,0,0.96,994,2.08,0.29,2024-01-27,92.04,0.488
4,ITM10004,Automotive,49.0,55,4.0,6.0,49.58,5.23,0.31,L36,D,35,1.4,104.97,0.63,5,0.83,299,5.65,0.96,2024-05-17,,0.67
5,ITM10005,Apparel,,62,9.0,6.0,35.95,9.47,0.41,L32,A,94,1.96,164.12,0.66,1,0.99,477,7.61,0.95,2024-07-12,180.65,0.803
6,ITM10006,Groceries,86.0,97,6.0,4.0,9.04,4.72,0.28,L29,C,110,4.9,134.38,0.37,8,0.88,418,4.25,0.45,2024-12-10,223.69,0.526
7,ITM10007,Groceries,84.0,89,13.0,4.0,47.82,6.78,0.24,L18,D,130,0.88,,1.42,7,0.74,958,11.37,0.7,2024-11-05,195.75,0.558
8,ITM10008,Groceries,311.0,22,4.0,9.0,33.72,7.04,0.15,L95,D,40,3.75,13.32,0.71,8,0.86,697,10.64,0.29,2024-11-04,105.74,0.541
9,ITM10009,Automotive,44.0,98,9.0,8.0,3.91,8.78,0.89,L14,A,26,1.28,70.32,1.63,8,1.0,496,2.65,0.27,2024-01-21,154.78,0.366
10,ITM10010,Pharma,56.0,63,7.0,2.0,33.22,0.82,0.36,L87,B,107,0.53,188.5,1.95,1,0.87,71,,0.6,,266.58,0.599
